sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level,risk_label
CYCLING,105.97,118.96,80.01,94.87,36.19,163.02,61.64,1,1,1,1,2,high
VOLLEYBALL,104.74,147.51,86.47,169.92,26.51,172.13,84.82,0,0,0,0,1,moderate
VOLLEYBALL,90.54,129.72,99.65,144.4,15.14,160.83,74.87,0,1,0,1,1,moderate
BASKETBALL,54.31,123.98,64.45,148.83,38.0,133.62,49.9,0,1,1,1,3,critical
VOLLEYBALL,88.58,112.24,86.6,160.19,31.64,155.24,60.69,1,1,1,1,2,high
GYMNASTICS,41.59,47.98,86.18,185.0,71.04,128.69,41.51,1,1,1,1,3,critical
RUGBY,97.82,116.69,65.87,135.22,55.37,163.31,65.53,0,1,1,1,2,high
HOCKEY,119.82,105.52,113.27,104.53,39.88,167.32,78.72,0,0,1,1,1,moderate
SOCCER,97.08,136.42,106.81,107.5,31.85,155.95,66.32,0,1,1,1,2,high
BOXING,150.96,167.54,152.32,99.08,14.91,175.96,82.22,0,0,0,0,0,low
TENNIS,132.74,138.63,104.75,160.44,23.28,161.13,72.53,0,1,1,1,1,moderate
BOXING,147.62,161.4,137.97,79.33,18.87,171.01,81.17,0,0,0,0,0,low
BASEBALL,127.26,132.57,73.34,174.93,31.92,164.58,70.86,0,1,1,1,1,moderate
CYCLING,137.18,153.91,138.76,76.82,19.18,168.37,91.2,0,0,0,0,0,low
AMERICAN_FOOTBALL,96.24,122.1,79.65,134.57,43.68,147.54,67.77,0,1,1,1,2,high
CRICKET,92.89,136.44,90.16,162.55,24.14,164.73,70.52,0,1,0,1,1,moderate
TRACK,103.61,137.72,62.19,98.17,27.34,159.84,83.13,0,1,0,1,2,high
SOCCER,140.96,157.13,133.42,68.82,9.37,178.32,84.49,0,0,0,0,0,low
OTHER,67.29,105.57,51.84,140.75,45.64,154.14,53.77,1,1,1,1,3,critical
BADMINTON,126.87,163.02,126.21,143.92,23.35,168.46,82.62,0,0,0,0,0,low
WRESTLING,31.12,77.56,45.25,167.9,72.62,136.58,33.78,1,1,1,1,3,critical
WRESTLING,67.28,76.76,54.86,153.41,62.83,152.03,52.63,0,1,1,1,2,high
TENNIS,123.96,142.03,104.04,171.38,21.3,164.53,75.26,0,1,0,1,1,moderate
BADMINTON,138.49,167.22,141.5,142.49,11.74,170.95,86.76,0,0,0,0,0,low
VOLLEYBALL,94.41,118.88,83.18,162.0,28.36,153.39,63.44,0,1,0,1,2,high
SOCCER,131.98,155.52,147.84,74.4,10.94,173.46,91.76,0,0,0,0,0,low
SWIMMING,116.29,125.32,65.12,178.93,23.29,157.08,66.75,0,1,0,1,2,high
CRICKET,141.75,134.77,109.75,156.35,20.52,179.58,83.75,0,0,0,0,0,low
BASEBALL,85.56,103.21,36.88,183.37,56.76,151.88,48.53,1,1,1,1,3,critical
CRICKET,52.13,88.03,52.83,180.36,64.54,147.08,46.58,1,1,1,1,3,critical
BOXING,136.79,154.6,158.03,105.75,10.94,174.56,79.76,0,0,0,1,0,low
HOCKEY,74.27,107.65,77.77,129.62,48.73,155.61,58.47,0,1,1,1,2,high
WRESTLING,43.01,67.08,45.93,159.32,76.62,145.03,26.56,1,1,1,1,3,critical
OTHER,96.65,131.41,76.48,118.27,36.14,154.93,59.38,0,1,1,1,2,high
CYCLING,125.17,140.89,115.75,86.47,28.32,171.66,90.69,0,0,0,0,1,moderate
WRESTLING,43.44,62.46,37.05,178.12,66.54,146.67,47.81,1,1,1,1,3,critical
TRACK,105.47,137.3,68.4,98.04,24.81,159.59,66.84,1,1,0,1,2,high
SWIMMING,119.94,153.37,92.83,172.66,22.71,165.79,79.99,0,0,0,1,1,moderate
BASKETBALL,81.93,122.41,50.11,124.1,31.59,160.25,66.39,1,1,1,1,2,high
RUGBY,89.23,113.47,78.97,134.91,39.42,155.56,64.38,1,1,1,1,2,high
TENNIS,95.22,121.87,79.02,179.0,49.37,157.82,59.63,0,1,1,1,2,high
OTHER,79.8,109.15,59.02,159.16,47.31,142.17,52.36,1,1,1,1,3,critical
OTHER,78.58,95.86,59.16,149.22,41.98,146.23,41.08,1,1,1,1,3,critical
GYMNASTICS,85.85,86.63,106.51,166.85,38.5,160.45,71.99,0,1,1,1,1,moderate
BADMINTON,75.14,114.84,63.17,182.52,50.46,140.61,38.07,1,1,1,1,3,critical
WRESTLING,44.55,71.71,48.29,183.24,62.36,141.21,28.27,1,1,1,1,3,critical
OTHER,99.74,119.62,76.36,122.73,43.04,154.65,59.74,0,1,1,1,2,high
RUGBY,116.31,100.13,70.29,139.67,37.81,154.02,57.77,0,1,1,1,2,high
BOXING,141.43,160.9,145.83,128.78,7.13,172.24,98.79,0,0,0,0,0,low
HOCKEY,91.26,103.26,73.36,100.19,47.53,148.31,55.4,0,1,1,1,2,high
WRESTLING,43.94,74.18,41.5,168.35,68.76,153.74,29.08,1,1,1,1,3,critical
SOCCER,91.11,112.28,96.55,126.59,51.0,138.77,50.52,1,1,1,1,3,critical
BASEBALL,122.71,148.67,79.52,181.52,30.21,169.19,65.76,0,0,1,1,1,moderate
SWIMMING,144.98,155.36,115.63,147.98,14.46,170.66,90.32,0,0,0,0,0,low
SWIMMING,146.51,155.55,128.22,154.75,10.6,171.99,91.43,0,0,0,0,0,low
WRESTLING,77.61,109.66,89.96,106.69,48.82,162.85,79.08,0,1,1,1,1,moderate
AMERICAN_FOOTBALL,83.54,120.56,68.3,140.86,49.87,159.5,71.94,1,1,1,1,2,high
BASEBALL,127.04,139.24,75.93,179.57,32.27,163.83,72.02,0,1,1,1,1,moderate
HOCKEY,121.69,105.05,91.14,102.53,36.05,164.54,65.27,0,1,1,1,1,moderate
TENNIS,86.97,117.02,59.9,185.0,51.77,152.73,36.79,1,1,1,1,3,critical
OTHER,85.86,93.51,68.06,143.07,36.58,154.64,45.19,1,1,1,1,3,critical
BADMINTON,124.22,128.33,101.32,158.29,32.27,159.26,76.45,0,1,1,1,1,moderate
SOCCER,90.6,124.24,89.87,128.1,38.97,148.96,48.33,1,1,1,1,3,critical
BASEBALL,86.31,97.39,32.69,182.8,55.65,150.98,33.07,1,1,1,1,3,critical
WRESTLING,45.47,75.93,45.87,174.45,77.76,142.27,39.53,1,1,1,1,3,critical
OTHER,95.79,119.64,84.03,131.63,40.43,156.72,70.21,1,1,1,1,2,high
BOXING,108.16,124.31,137.15,123.99,30.39,157.59,55.59,0,1,1,1,2,high
GYMNASTICS,28.07,57.22,81.56,185.0,63.73,143.93,50.83,1,1,1,1,3,critical
SWIMMING,75.64,117.85,48.61,179.94,38.36,142.32,60.13,1,1,1,1,3,critical
RUGBY,68.17,100.15,56.62,150.26,61.08,141.45,42.15,1,1,1,1,3,critical
SOCCER,138.99,163.6,157.9,66.28,8.33,173.85,88.98,0,0,0,0,0,low
BASEBALL,139.69,161.11,104.17,179.36,19.01,173.06,89.29,0,0,0,0,0,low
CRICKET,83.85,99.39,59.54,171.79,53.59,152.43,61.12,1,1,1,1,2,high
RUGBY,90.89,118.61,72.88,115.29,27.07,146.64,58.05,1,1,0,1,2,high
BOXING,89.88,91.36,75.3,136.22,46.23,143.82,37.6,1,1,1,1,3,critical
SOCCER,118.59,135.87,127.82,91.85,19.73,167.31,79.02,0,0,0,1,1,moderate
TRACK,109.67,131.83,57.33,99.31,23.94,156.61,80.94,0,1,0,0,2,high
TENNIS,108.18,129.04,83.64,179.76,39.05,166.95,57.42,1,0,1,1,2,high
VOLLEYBALL,110.06,137.47,111.44,143.44,20.99,161.11,74.61,0,1,0,1,1,moderate
GYMNASTICS,110.63,127.4,153.42,163.76,27.57,168.25,90.64,0,0,0,0,0,low
VOLLEYBALL,104.89,141.5,113.36,149.41,31.21,164.89,74.86,0,1,1,1,1,moderate
VOLLEYBALL,98.06,134.74,105.24,163.59,20.56,165.06,74.23,0,0,0,1,1,moderate
BASKETBALL,107.34,151.84,126.62,104.4,10.15,170.77,96.62,0,0,0,0,0,low
OTHER,118.09,141.89,109.72,117.7,19.38,160.29,75.0,0,1,1,1,1,moderate
TENNIS,146.27,158.2,130.45,173.0,18.89,170.84,84.62,0,0,0,0,0,low
BASKETBALL,73.4,117.48,55.73,147.66,38.6,141.34,53.46,0,1,1,1,3,critical
CRICKET,139.01,137.25,110.37,164.7,17.39,175.7,78.7,0,0,0,1,0,low
CRICKET,119.26,129.77,121.69,148.64,9.22,166.31,77.65,0,0,0,1,0,low
SWIMMING,149.24,149.91,109.16,133.55,10.05,169.63,100.0,0,0,0,0,0,low
CRICKET,130.78,149.61,110.54,142.41,25.18,164.13,82.72,0,1,0,0,0,low
WRESTLING,118.86,125.54,90.56,101.09,35.03,168.27,90.64,0,0,1,0,0,low
HOCKEY,138.24,136.09,116.45,83.22,31.18,169.64,89.17,0,0,1,0,0,low
BASKETBALL,77.0,110.03,64.32,141.53,38.29,149.77,68.25,1,1,1,1,3,critical
CRICKET,145.3,140.79,110.55,156.25,20.75,167.93,89.72,0,0,0,0,0,low
TRACK,117.4,151.57,77.82,91.72,15.61,167.36,88.01,0,0,0,0,1,moderate
GYMNASTICS,99.43,122.65,144.71,145.87,28.21,168.41,98.55,0,0,0,0,0,low
TENNIS,125.5,151.7,93.47,173.08,33.08,160.58,72.15,0,1,1,1,1,moderate
BASEBALL,142.51,155.87,91.3,159.54,25.12,172.05,79.11,0,0,0,1,0,low
BASEBALL,125.23,135.44,79.81,174.56,40.5,160.19,70.53,0,1,1,1,1,moderate
BASEBALL,114.76,121.44,59.23,182.0,46.14,165.06,58.56,0,0,1,1,2,high
TRACK,129.64,164.41,84.15,79.65,10.71,173.39,94.07,0,0,0,0,0,low
OTHER,113.13,127.79,99.62,128.89,33.3,156.48,66.0,0,1,1,1,2,high
BOXING,109.75,101.93,134.14,129.2,38.61,153.8,56.47,1,1,1,1,2,high
BADMINTON,106.5,141.89,102.94,151.55,29.7,158.26,71.67,0,1,0,1,1,moderate
BASKETBALL,90.56,141.39,83.17,127.86,27.5,152.23,62.05,1,1,0,1,2,high
OTHER,123.04,135.44,112.27,127.56,10.45,169.12,72.12,0,0,0,1,1,moderate
HOCKEY,100.73,98.55,72.79,122.16,47.52,150.11,53.08,0,1,1,1,2,high
VOLLEYBALL,122.15,149.2,118.18,133.96,19.1,174.35,85.43,0,0,0,0,0,low
TRACK,101.83,129.92,66.62,88.34,28.79,158.75,75.76,0,1,0,1,2,high
RUGBY,111.05,134.93,72.15,100.98,45.05,165.82,69.32,0,0,1,1,1,moderate
VOLLEYBALL,129.89,159.64,114.66,139.26,13.17,165.43,95.49,0,0,0,0,0,low
BOXING,86.5,92.41,85.3,149.78,44.81,152.78,40.32,1,1,1,1,3,critical
AMERICAN_FOOTBALL,139.75,152.9,114.07,86.21,24.6,166.98,92.59,0,0,0,0,0,low
GYMNASTICS,109.17,85.46,132.08,157.47,34.29,152.71,73.98,0,1,1,1,1,moderate
BADMINTON,117.39,137.86,114.11,158.22,27.99,169.08,81.59,0,0,0,0,1,moderate
RUGBY,101.36,138.98,96.52,127.95,15.17,159.16,78.64,0,1,0,1,1,moderate
SOCCER,106.63,145.81,130.16,94.66,26.29,164.88,68.78,0,1,0,1,1,moderate
BADMINTON,101.04,130.94,90.15,170.36,27.37,161.9,71.2,0,1,1,1,1,moderate
BOXING,163.55,167.85,136.25,97.4,11.32,171.73,82.08,0,0,0,0,0,low
TRACK,125.04,158.16,71.22,79.3,17.09,172.19,88.73,0,0,0,0,1,moderate
CYCLING,110.03,127.38,86.42,95.43,41.97,151.45,67.99,0,1,1,1,2,high
AMERICAN_FOOTBALL,72.35,111.6,62.9,160.01,52.67,136.81,44.99,0,1,1,1,3,critical
SWIMMING,107.99,134.32,76.47,167.94,25.29,158.93,63.16,0,1,0,1,2,high
TRACK,87.99,120.99,35.95,116.2,33.37,153.5,62.95,1,1,1,1,3,critical
SWIMMING,131.05,155.82,98.62,168.7,11.71,168.54,92.92,0,0,0,0,0,low
SOCCER,96.44,131.28,109.29,104.19,28.26,161.94,55.83,1,1,1,1,2,high
BOXING,95.9,97.35,84.85,144.91,44.48,146.5,50.86,0,1,1,1,3,critical
BASKETBALL,127.98,162.21,129.56,90.18,8.1,173.94,92.08,0,0,0,0,0,low
CRICKET,65.33,98.11,53.35,185.0,69.67,143.47,59.51,0,1,1,1,3,critical
BASEBALL,129.26,142.28,76.91,181.66,24.57,160.78,64.82,0,1,0,1,1,moderate
BADMINTON,61.37,106.87,51.35,178.76,39.39,143.78,48.18,1,1,1,1,3,critical
TENNIS,114.78,123.15,82.14,178.09,36.0,156.29,64.17,0,1,1,1,2,high
SWIMMING,112.33,149.5,97.63,165.57,21.1,162.62,74.27,0,1,0,1,1,moderate
BASEBALL,115.36,124.38,62.9,182.69,49.03,157.8,53.99,1,1,1,1,2,high
CRICKET,70.56,90.14,51.53,185.0,54.15,143.45,51.0,1,1,1,1,3,critical
CYCLING,138.51,158.54,152.42,69.57,15.02,172.74,82.67,0,0,0,0,0,low
HOCKEY,72.41,85.98,52.33,154.35,68.78,141.65,40.0,1,1,1,1,3,critical
CRICKET,70.73,97.42,49.61,179.77,64.04,146.66,40.23,1,1,1,1,3,critical
RUGBY,154.14,140.06,107.98,90.4,22.73,171.33,91.03,0,0,0,0,0,low
WRESTLING,44.5,63.21,44.59,164.32,75.47,136.54,35.38,1,1,1,1,3,critical
SOCCER,84.18,131.13,111.31,96.8,36.0,159.74,63.09,0,1,1,1,2,high
RUGBY,102.01,134.07,65.56,125.36,33.72,170.48,79.92,0,0,1,1,1,moderate
